AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
D         ,Ollie,STAFFRDBT ,STAFFR,Brindle   ,Y,M,3,MAROOCHYDORE
D         ,Tigger,RIDGEBACKX,RIDGEB,Brindle   ,Y,M,2,MALENY
D         ,Layla,COLLBORDR ,COLLBO,Black     ,N,F,0,GLASS HOUSE MOUNTAINS
Cat       ,Storm,DOMLH     ,DOMLH ,Grey      ,Y,M,1,KIELS MOUNTAIN
Cat       ,Poppy,DOMSH     ,DOMSH ,Tortoise  ,Y,F,4,KIELS MOUNTAIN
D         ,Bruno,MASTIFFX  ,MASTIF,Tan       ,N,M,3,BEERWAH
D         ,Rosie,SPOODLE   ,SPOODL,Cream     ,Y,F,11,PEREGIAN SPRINGS
D         ,Indii,STAFFRDBTX,STAFFR,Tan       ,Y,F,6,KIELS MOUNTAIN
D         ,Jasper,MALTESE   ,MALTES,White     ,Y,M,9,GLENVIEW
D         ,Poppy,MOODLE    ,MOODLE,White     ,Y,F,5,GLENVIEW
D         ,Luna,DACHSHUNDM,DACHSH,Black     ,Y,F,1,PEREGIAN SPRINGS
D         ,Molly,RIDGEBACKX,RIDGEB,Tan       ,Y,F,1,BUDERIM
D         ,Milly,MASTIFFX  ,MASTIF,Brown     ,Y,F,0,BUDERIM
D         ,Tui,COLLBORDRX,COLLBO,BlackWhite,Y,F,0,CALOUNDRA WEST
D         ,Tyrus,DOBERMAN  ,DOBERM,BlackTan  ,N,M,4,SIPPY DOWNS
D         ,Millie,SHIHTZU   ,SHIHTZ,SaltPepper,Y,F,0,MOUNT COOLUM
D         ,Olive,BULLDOGFR ,BULLDO,BlackBrind,N,F,0,MOUNTAIN CREEK
D         ,Poquito Mas,CHIHUAHUA ,CHIHUA,SableGold ,Y,M,2,ROSEMOUNT
D         ,Chiquita Chica,CHIHUAHUA ,CHIHUA,SableWhite,Y,F,2,ROSEMOUNT
Cat       ,Scotch,DOMSH     ,DOMSH ,Ginger    ,Y,M,1,NORTH MALENY
Cat       ,Molly,DOMSH     ,DOMSH ,BlackTanWh,Y,F,4,MONTVILLE
D         ,Blue,CATTLEDOGX,CATTLE,BlackGrey ,Y,F,3,SIPPY DOWNS
D         ,Luna,JACKRUSSL ,JACKRU,White     ,Y,F,4,YANDINA
D         ,Nix,HUSKY     ,HUSKY ,BlueWhite ,Y,M,3,WOOMBYE
Cat       ,Bowser,DOMSH     ,DOMSH ,Ginger    ,Y,M,1,LITTLE MOUNTAIN
D         ,Ollie,STAFFRDBT ,STAFFR,Brindle   ,N,M,0,BOKARINA
